,port_1,port_2,port_3,port_4,port_5
Excess_Return%,1.2190804351477065,1.499706496245966,1.4964712429042213,1.1212039586639897,1.0010055603478
t-Excess_Return,2.482828164279375,2.3914521626178766,2.0311416983434625,1.5393682480123225,1.1660816452603533
CAPM_alpha%,0.7648898491988285,0.8846622458055499,0.7569968143982414,0.3915801335758532,0.15534511709831395
t-CAPM_alpha,3.5914264471277955,4.701777812581215,4.245872477105876,2.2227711521587117,0.6159479221410326
FF3_alpha%,0.8335254779092446,1.0559885907959679,0.8946827697479836,0.38230274440608464,0.08221671432359118
t-FF3_alpha,3.867414969127925,5.3128133299955165,4.822903687278243,2.4515413944166027,0.3177264499973828
Carhart4_alpha%,0.8313536251451824,1.1019784006690811,0.8994373180445693,0.4031969237138891,0.1416010155778121
t-Carhart4_alpha,3.598068347830781,5.484513069683888,4.801813091649112,2.5393358105486765,0.5155398291495006
FF5_alpha%,0.7746042390625074,1.0350955880371282,0.8843664875038397,0.464583718048599,0.2702633478746452
t-FF5_alpha,3.109759486642506,4.606660626607505,4.976032603869943,2.7346430465570966,1.0425179236534523
LSY3_alpha%,0.8434431655596095,0.8851259125414537,1.0000553371700476,0.9027532196343838,0.9590576536267585
t-LSY3_alpha,3.2260485188193466,4.310746069139039,6.777533726325781,4.842905710669541,3.8607073889930534
LSY4_alpha%,0.7950063359505093,0.7616826752217063,0.9469288107334026,0.9397400055832397,1.1051681437969008
t-LSY4_alpha,2.9315240226528907,3.604944924053192,6.2146786838501145,4.817203703770171,4.073267845962942
beta (ex ante),0.603603553706255,0.9488708798901494,1.1084422709906454,1.2379595118803137,1.4338273083602735
beta (realized),0.7034549192787872,0.952586682620373,1.1453053861225377,1.1300486730894619,1.3097673471160156
volatility%,21.71551449780179,27.735052994201244,32.58461385270561,32.21265515717216,37.965747561058684
Sharpe Ratio,0.6736642239470464,0.6488712301618548,0.551108415647515,0.41767583076653775,0.3163922086574249
