,port_1
Excess_Return%,0.8646930167645056
t-Excess_Return,3.002833100313166
CAPM_alpha%,0.7695830154251287
t-CAPM_alpha,3.2104402679463893
FF3_alpha%,0.650637605122288
t-FF3_alpha,2.9776836522041963
Carhart4_alpha%,0.6047419905812436
t-Carhart4_alpha,2.8485855979684467
FF5_alpha%,0.8364252691922227
t-FF5_alpha,3.20623384129349
LSY3_alpha%,0.6775444924912
p-LSY3_alpha,2.9947663434916945
LSY4_alpha%,0.5745233031021318
p-LSY4_alpha,2.813183843064233
beta (realized),0.10010672345513523
volatility%,9.250614985761308
Sharpe Ratio,1.1216893381840511
