,port_1
Excess_Return%,0.8646930167645056
p-Excess_Return,0.002674790768823324
CAPM_alpha%,0.7695830154251287
p-CAPM_alpha,0.0013253180986653225
FF3_alpha%,0.650637605122288
p-FF3_alpha,0.0029043558524714046
Carhart4_alpha%,0.6047419905812436
p-Carhart4_alpha,0.00439140385158162
FF5_alpha%,0.8364252691922227
p-FF5_alpha,0.001344846521022301
LSY3_alpha%,0.6775444924912
p-LSY3_alpha,0.002746551487457205
LSY4_alpha%,0.5745233031021318
p-LSY4_alpha,0.004905359710672559
beta (realized),0.10010672345513523
volatility%,9.250614985761308
Sharpe Ratio,1.1216893381840511
