,port_1
Excess_Return%,1.4966638257854876
t-Excess_Return,3.650138461243874
CAPM_alpha%,1.2821817713375177
t-CAPM_alpha,3.9709980786495196
FF3_alpha%,1.1684369150730556
t-FF3_alpha,4.090444876100829
Carhart4_alpha%,1.1090362742567499
t-Carhart4_alpha,3.756575367635486
FF5_alpha%,1.0776659837597482
t-FF5_alpha,3.3354247956105865
LSY3_alpha%,0.7358821118820197
p-LSY3_alpha,2.467516411780504
LSY4_alpha%,0.756148819307885
p-LSY4_alpha,2.3375589771186873
beta (realized),0.36681548501296024
volatility%,17.910351458804072
Sharpe Ratio,1.0027701550545167
