,port_1,port_2,port_3,port_4,port_5
Excess_Return%,1.3664305049935672,1.0234715898077502,0.8712863214439441,0.6221991491740755,0.2449068299021931
p-Excess_Return,0.029746026026044193,0.1317642947650073,0.23804199676150717,0.4229245218155375,0.7704017769737344
CAPM_alpha%,0.8081831052168422,0.39903053693320106,0.1847624154880276,-0.09885019979787406,-0.546161847958758
p-CAPM_alpha,0.009689534543318818,0.1839964387705756,0.5542834845479696,0.76300405418504,0.0981133917154966
FF3_alpha%,0.595809078507285,0.16993931430623385,-0.08026741506010748,-0.40313886293942947,-0.7940091699096711
p-FF3_alpha,0.0015290743693269402,0.09807226518707884,0.42599601310312696,0.00011342286531866939,8.864434079907156e-07
Carhart4_alpha%,0.5915690983916674,0.15576210625675568,-0.08574961898869735,-0.39727628529305936,-0.7621572862814665
p-Carhart4_alpha,0.0021954718018103053,0.14205791971173357,0.40886495812411694,0.00023146785350660077,8.275908595446022e-06
FF5_alpha%,0.5958839391613794,0.0935297059574361,-0.11408994605263474,-0.3930345115204735,-0.6421147198282409
p-FF5_alpha,0.0024537148920969047,0.3950399364955517,0.22263346643600768,2.459873939795731e-05,3.869805922929496e-05
LSY3_alpha%,0.7218893293608069,0.3469124942397005,0.3258748739617668,0.14728285977748357,0.12632215611385036
p-LSY3_alpha,0.0001428390124887915,0.0006401767158655285,8.275026948740305e-06,0.06562933786374134,0.34421609662227814
LSY4_alpha%,0.7675203447194096,0.35592338758384967,0.34798274826636255,0.19536880835388515,0.1984225403471116
p-LSY4_alpha,0.000142502601289225,0.000503622644716561,1.14038842137099e-05,0.018838205428120116,0.14966242907329289
beta (ex ante),0.655827690883192,0.9634439975566857,1.1118131718293025,1.2434442353766064,1.4536332018938172
beta (realized),0.8646191526121374,0.967140544154011,1.0632950875418072,1.1167684387764398,1.225215075222382
volatility%,27.804888219205576,30.032731629487866,32.65893189733818,34.33897711874351,37.1130396184982
Sharpe Ratio,0.5897224232894721,0.40894245748975305,0.32014016533649975,0.21743192187321936,0.07918731499862099
