,port_1,port_2,port_3,port_4,port_5
Excess_Return%,1.3664305049935672,1.0234715898077502,0.8712863214439441,0.6221991491740755,0.2449068299021931
t-Excess_Return,2.1734558398714623,1.5071808995233074,1.1798949547259867,0.8013578282029367,0.2918493946142719
CAPM_alpha%,0.8081831052168422,0.39903053693320106,0.1847624154880276,-0.09885019979787406,-0.546161847958758
t-CAPM_alpha,2.586716259135601,1.3285501166228928,0.5913536572289512,-0.30153829325312276,-1.6540695029504358
FF3_alpha%,0.595809078507285,0.16993931430623385,-0.08026741506010748,-0.40313886293942947,-0.7940091699096711
t-FF3_alpha,3.1691082443302556,1.6542719716161352,-0.7960619769314587,-3.859922772270008,-4.915305009115223
Carhart4_alpha%,0.5915690983916674,0.15576210625675568,-0.08574961898869735,-0.39727628529305936,-0.7621572862814665
t-Carhart4_alpha,3.0624308701296217,1.4681704836602645,-0.8258927068326141,-3.681937840097935,-4.457919193846827
FF5_alpha%,0.5958839391613794,0.0935297059574361,-0.11408994605263474,-0.3930345115204735,-0.6421147198282409
t-FF5_alpha,3.0289916198419236,0.8505129989987622,-1.2195553893171693,-4.218450101155079,-4.115118477064745
LSY3_alpha%,0.7218893293608069,0.3469124942397005,0.3258748739617668,0.14728285977748357,0.12632215611385036
t-LSY3_alpha,3.803199883030205,3.4139953362916637,4.457942036850723,1.8409469183440075,0.9458676475631742
LSY4_alpha%,0.7675203447194096,0.35592338758384967,0.34798274826636255,0.19536880835388515,0.1984225403471116
t-LSY4_alpha,3.80378373359641,3.478822181825088,4.388683591225496,2.3487172614429173,1.4407248588146497
beta (ex ante),0.655827690883192,0.9634439975566857,1.1118131718293025,1.2434442353766064,1.4536332018938172
beta (realized),0.8646191526121374,0.967140544154011,1.0632950875418072,1.1167684387764398,1.225215075222382
volatility%,27.804888219205576,30.032731629487866,32.65893189733818,34.33897711874351,37.1130396184982
Sharpe Ratio,0.5897224232894721,0.40894245748975305,0.32014016533649975,0.21743192187321936,0.07918731499862099
