,port_1
Excess_Return%,1.4966638257854876
p-Excess_Return,0.0002620989853251142
CAPM_alpha%,1.2821817713375177
p-CAPM_alpha,7.157215657943784e-05
FF3_alpha%,1.1684369150730556
p-FF3_alpha,4.305465358372317e-05
Carhart4_alpha%,1.1090362742567499
p-Carhart4_alpha,0.00017225441112393123
FF5_alpha%,1.0776659837597482
p-FF5_alpha,0.0008516918697524939
LSY3_alpha%,0.7358821118820197
p-LSY3_alpha,0.013605398441842132
LSY4_alpha%,0.756148819307885
p-LSY4_alpha,0.019410138117519616
beta (realized),0.36681548501296024
volatility%,17.910351458804072
Sharpe Ratio,1.0027701550545167
